"song_id","society_id","unusualness_region","regional_mean","society_mean","society_region_diff","nn_distance_km","nearest_phyloneighbour","n_neighbours_250","n_neighbours_500","n_neighbours_1000","u_ea","u_kinship","u_economy","u_housing","GlottoID","FamilyLevGlottocode","Region","Society_latitude"
3937,23981,-44.0731219889468,-49.10891039946,-51.341601931253,-2.23269153179305,775.421550000605,0.0321987864305,0,0,1,-14.288082261316,-11.6183929676528,-2.64432077702552,-1.03510446348666,"puka1242","aust1307","Oceania",-10.84
3938,23981,-55.1456669210878,-49.10891039946,-51.341601931253,-2.23269153179305,775.421550000605,0.0321987864305,0,0,1,-14.288082261316,-11.6183929676528,-2.64432077702552,-1.03510446348666,"puka1242","aust1307","Oceania",-10.84
3939,23981,-53.3523511361104,-49.10891039946,-51.341601931253,-2.23269153179305,775.421550000605,0.0321987864305,0,0,1,-14.288082261316,-11.6183929676528,-2.64432077702552,-1.03510446348666,"puka1242","aust1307","Oceania",-10.84
3940,23981,-52.963221364229,-49.10891039946,-51.341601931253,-2.23269153179305,775.421550000605,0.0321987864305,0,0,1,-14.288082261316,-11.6183929676528,-2.64432077702552,-1.03510446348666,"puka1242","aust1307","Oceania",-10.84
394,27028,-51.1005860808887,-48.5962067567524,-51.2482483589184,-2.65204160216601,410.002064417897,0.1218282666,0,2,24,-14.2843790448367,-7.45386938682099,-2.33593846528357,-3.93457740441421,"tibe1272","sino1245","South Asia",29.64
395,27028,-66.9060171594339,-48.5962067567524,-51.2482483589184,-2.65204160216601,410.002064417897,0.1218282666,0,2,24,-14.2843790448367,-7.45386938682099,-2.33593846528357,-3.93457740441421,"tibe1272","sino1245","South Asia",29.64
3969,16963,-42.7815225647689,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3970,16963,-40.1962422495861,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3971,16963,-67.8998688593966,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3972,16963,-50.2539717947225,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3973,16963,-53.2120466950049,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3974,16963,-49.2776549922832,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3975,16963,-49.9640981852669,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3976,16963,-55.9118529966093,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3977,16963,-57.2626098919054,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
3978,16963,-64.1068385645671,-49.10891039946,-52.8099361849493,-3.70102578548932,0.00576924272666488,0.0403242671,19,41,84,-13.9471556743454,-10.5843192001223,-1.51291866553442,-1.72825164404661,"iatm1242","nduu1242","Oceania",-4.31
